"User_ID","消费时间间隔","消费频率","用户类型"
"107932","高","高","价值用户"
"122504","高","高","价值用户"
"128379","高","高","价值用户"
"1003983","高","高","价值用户"
"128113","高","高","价值用户"
"114948","高","高","价值用户"
"102953","高","高","价值用户"
"100101","高","高","价值用户"
"1014610","高","高","价值用户"
"1007071","高","高","价值用户"
"1006872","高","高","价值用户"
"123755","高","高","价值用户"
"118202","高","高","价值用户"
"1005259","高","高","价值用户"
"1015255","高","高","价值用户"
"1015754","高","高","价值用户"
"101832","高","高","价值用户"
"1008275","高","高","价值用户"
"109660","高","高","价值用户"
"1000488","高","高","价值用户"
"107569","高","高","价值用户"
"107606","高","高","价值用户"
"111322","高","高","价值用户"
"124892","高","高","价值用户"
"124507","高","高","价值用户"
"1007670","高","高","价值用户"
"102742","高","高","价值用户"
"107134","高","高","价值用户"
"112055","高","高","价值用户"
"1012148","高","高","价值用户"
"1013381","高","高","价值用户"
"112870","高","高","价值用户"
"113705","高","高","价值用户"
"12801","高","高","价值用户"
"119489","高","高","价值用户"
"1002031","高","高","价值用户"
"1006897","高","高","价值用户"
"1007335","高","高","价值用户"
"1013013","高","高","价值用户"
"1004584","高","高","价值用户"
"1005709","高","高","价值用户"
"1007078","高","高","价值用户"
"103532","高","高","价值用户"
"104083","高","高","价值用户"
"112568","高","高","价值用户"
"118056","高","高","价值用户"
"118567","高","高","价值用户"
"12701","高","高","价值用户"
"127768","高","高","价值用户"
"116659","高","高","价值用户"
"121136","高","高","价值用户"
"121789","高","高","价值用户"
"101381","高","高","价值用户"
"1013889","高","高","价值用户"
"1017902","高","高","价值用户"
"107025","高","高","价值用户"
"10899","高","高","价值用户"
"100116","高","高","价值用户"
"1007035","高","高","价值用户"
"1007952","高","高","价值用户"
"106118","高","高","价值用户"
"110097","高","高","价值用户"
"110694","高","高","价值用户"
"113164","高","高","价值用户"
"114687","高","高","价值用户"
"116523","高","高","价值用户"
"118740","高","高","价值用户"
"119502","高","高","价值用户"
"112970","高","高","价值用户"
"117648","高","高","价值用户"
"119472","高","高","价值用户"
"122286","高","高","价值用户"
"122497","高","高","价值用户"
"122919","高","高","价值用户"
"125187","高","高","价值用户"
"128229","高","高","价值用户"
"1006262","高","高","价值用户"
"1006307","高","高","价值用户"
"1006597","高","高","价值用户"
"101008","高","高","价值用户"
"1011652","高","高","价值用户"
"1015673","高","高","价值用户"
"104166","高","高","价值用户"
"106080","高","高","价值用户"
"106617","高","高","价值用户"
"1000417","高","高","价值用户"
"1005284","高","高","价值用户"
"100678","高","高","价值用户"
"1010478","高","高","价值用户"
"1011655","高","高","价值用户"
"1011872","高","高","价值用户"
"110029","高","高","价值用户"
"112456","高","高","价值用户"
"11295","高","高","价值用户"
"113973","高","高","价值用户"
"114781","高","高","价值用户"
"11946","高","高","价值用户"
"11976","高","高","价值用户"
"120993","高","高","价值用户"
"121724","高","高","价值用户"
"124607","高","高","价值用户"
"125674","高","高","价值用户"
"127883","高","高","价值用户"
"1156","高","高","价值用户"
"117146","高","高","价值用户"
"117174","高","高","价值用户"
"118432","高","高","价值用户"
"119668","高","高","价值用户"
"121204","高","高","价值用户"
"122852","高","高","价值用户"
"123242","高","高","价值用户"
"126071","高","高","价值用户"
"12644","高","高","价值用户"
"126908","高","高","价值用户"
