"User_ID","R","F","消费时间间隔","消费频率"
"107932","0","72","高","高"
"122504","0","69","高","高"
"128379","0","65","高","高"
"1003983","0","43","高","高"
"128113","0","32","高","高"
"114948","0","31","高","高"
"102953","0","29","高","高"
"100101","0","28","高","高"
"1014610","0","25","高","高"
"1007071","0","24","高","高"
"1006872","0","23","高","高"
"123755","0","23","高","高"
"118202","0","21","高","高"
"1005259","0","21","高","高"
"1015255","0","21","高","高"
"1015754","0","21","高","高"
"101832","0","21","高","高"
"1008275","0","20","高","高"
"109660","0","20","高","高"
"1000488","0","19","高","高"
"107569","0","19","高","高"
"107606","0","19","高","高"
"111322","0","19","高","高"
"124892","0","19","高","高"
"124507","0","18","高","高"
"1007670","0","18","高","高"
"102742","0","18","高","高"
"107134","0","18","高","高"
"112055","0","18","高","高"
"1012148","0","17","高","高"
"1013381","0","17","高","高"
"112870","0","17","高","高"
"113705","0","17","高","高"
"12801","0","17","高","高"
"119489","0","16","高","高"
"1002031","0","16","高","高"
"1006897","0","16","高","高"
"1007335","0","16","高","高"
"1013013","0","16","高","高"
"1004584","0","15","高","高"
"1005709","0","15","高","高"
"1007078","0","15","高","高"
"103532","0","15","高","高"
"104083","0","15","高","高"
"112568","0","15","高","高"
"118056","0","15","高","高"
"118567","0","15","高","高"
"12701","0","15","高","高"
"127768","0","15","高","高"
"116659","0","14","高","高"
"121136","0","14","高","高"
"121789","0","14","高","高"
"101381","0","14","高","高"
"1013889","0","14","高","高"
"1017902","0","14","高","高"
"107025","0","14","高","高"
"10899","0","14","高","高"
"100116","0","13","高","高"
"1007035","0","13","高","高"
"1007952","0","13","高","高"
"106118","0","13","高","高"
"110097","0","13","高","高"
"110694","0","13","高","高"
"113164","0","13","高","高"
"114687","0","13","高","高"
"116523","0","13","高","高"
"118740","0","13","高","高"
"119502","0","13","高","高"
"112970","0","12","高","高"
"117648","0","12","高","高"
"119472","0","12","高","高"
"122286","0","12","高","高"
"122497","0","12","高","高"
"122919","0","12","高","高"
"125187","0","12","高","高"
"128229","0","12","高","高"
"1006262","0","12","高","高"
"1006307","0","12","高","高"
"1006597","0","12","高","高"
"101008","0","12","高","高"
"1011652","0","12","高","高"
"1015673","0","12","高","高"
"104166","0","12","高","高"
"106080","0","12","高","高"
"106617","0","12","高","高"
"1000417","0","11","高","高"
"1005284","0","11","高","高"
"100678","0","11","高","高"
"1010478","0","11","高","高"
"1011655","0","11","高","高"
"1011872","0","11","高","高"
"110029","0","11","高","高"
"112456","0","11","高","高"
"11295","0","11","高","高"
"113973","0","11","高","高"
"114781","0","11","高","高"
"11946","0","11","高","高"
"11976","0","11","高","高"
"120993","0","11","高","高"
"121724","0","11","高","高"
"124607","0","11","高","高"
"125674","0","11","高","高"
"127883","0","11","高","高"
"1156","0","10","高","高"
"117146","0","10","高","高"
"117174","0","10","高","高"
"118432","0","10","高","高"
"119668","0","10","高","高"
"121204","0","10","高","高"
"122852","0","10","高","高"
"123242","0","10","高","高"
"126071","0","10","高","高"
"12644","0","10","高","高"
"126908","0","10","高","高"
"128377","0","10","高","高"
"128390","0","10","高","高"
"1000684","0","10","高","高"
"10009","0","10","高","高"
