"User_ID","R","F"
"107932","0","72"
"122504","0","69"
"128379","0","65"
"1003983","0","43"
"128113","0","32"
"114948","0","31"
"102953","0","29"
"100101","0","28"
"1014610","0","25"
"1007071","0","24"
"1006872","0","23"
"123755","0","23"
"118202","0","21"
"1005259","0","21"
"1015255","0","21"
"1015754","0","21"
"101832","0","21"
"1008275","0","20"
"109660","0","20"
"1000488","0","19"
"107569","0","19"
"107606","0","19"
"111322","0","19"
"124892","0","19"
"124507","0","18"
"1007670","0","18"
"102742","0","18"
"107134","0","18"
"112055","0","18"
"1012148","0","17"
"1013381","0","17"
"112870","0","17"
"113705","0","17"
"12801","0","17"
"119489","0","16"
"1002031","0","16"
"1006897","0","16"
"1007335","0","16"
"1013013","0","16"
"1004584","0","15"
"1005709","0","15"
"1007078","0","15"
"103532","0","15"
"104083","0","15"
"112568","0","15"
"118056","0","15"
"118567","0","15"
"12701","0","15"
"127768","0","15"
"116659","0","14"
"121136","0","14"
"121789","0","14"
"101381","0","14"
"1013889","0","14"
"1017902","0","14"
"107025","0","14"
"10899","0","14"
"100116","0","13"
"1007035","0","13"
"1007952","0","13"
"106118","0","13"
"110097","0","13"
"110694","0","13"
"113164","0","13"
"114687","0","13"
"116523","0","13"
"118740","0","13"
"119502","0","13"
"112970","0","12"
"117648","0","12"
"119472","0","12"
"122286","0","12"
"122497","0","12"
"122919","0","12"
"125187","0","12"
"128229","0","12"
"1006262","0","12"
"1006307","0","12"
"1006597","0","12"
"101008","0","12"
"1011652","0","12"
"1015673","0","12"
"104166","0","12"
"106080","0","12"
"106617","0","12"
"1000417","0","11"
"1005284","0","11"
"100678","0","11"
"1010478","0","11"
"1011655","0","11"
"1011872","0","11"
"110029","0","11"
"112456","0","11"
"11295","0","11"
"113973","0","11"
"114781","0","11"
"11946","0","11"
"11976","0","11"
"120993","0","11"
"121724","0","11"
"124607","0","11"
"125674","0","11"
"127883","0","11"
"1156","0","10"
"117146","0","10"
"117174","0","10"
"118432","0","10"
"119668","0","10"
"121204","0","10"
"122852","0","10"
"123242","0","10"
"126071","0","10"
"12644","0","10"
"126908","0","10"
"128377","0","10"
"128390","0","10"
"1000684","0","10"
"10009","0","10"
"1001199","0","10"
"1001375","0","10"
"1001545","0","10"
"1002166","0","10"
"1002307","0","10"
"1002358","0","10"
"1003826","0","10"
"1004726","0","10"
"1005124","0","10"
"1010299","0","10"
"1015545","0","10"
"1016977","0","10"
"1017785","0","10"
"109364","0","10"
"111549","0","10"
"1001629","0","9"
"1003716","0","9"
"1003906","0","9"
"1006653","0","9"
"1007501","0","9"
"1009211","0","9"
"1010869","0","9"
"101212","0","9"
"1015454","0","9"
"101660","0","9"
"101983","0","9"
"102632","0","9"
"104019","0","9"
"104620","0","9"
"104703","0","9"
"104710","0","9"
"105540","0","9"
"109163","0","9"
"112287","0","9"
"112741","0","9"
"112997","0","9"
"113570","0","9"
"115229","0","9"
"115555","0","9"
"115935","0","9"
"116108","0","9"
"116132","0","9"
"116682","0","9"
"117439","0","9"
"118867","0","9"
"121877","0","9"
"124095","0","9"
"127978","0","9"
"112845","0","8"
"113163","0","8"
"114824","0","8"
"116582","0","8"
"117075","0","8"
"117205","0","8"
"119999","0","8"
"120849","0","8"
"121890","0","8"
"123892","0","8"
"126468","0","8"
"128539","0","8"
"1000335","0","8"
"1000438","0","8"
"1001378","0","8"
"1001537","0","8"
"100173","0","8"
"1002246","0","8"
"1003022","0","8"
"1005916","0","8"
"1006274","0","8"
"1006446","0","8"
"1008174","0","8"
"1008842","0","8"
"1010280","0","8"
"1012275","0","8"
"101249","0","8"
"1012682","0","8"
"1013943","0","8"
"1014907","0","8"
"1015572","0","8"
"1015760","0","8"
"1017905","0","8"
"102257","0","8"
"103509","0","8"
"106067","0","8"
"107002","0","8"
"107825","0","8"
"108025","0","8"
"108997","0","8"
"109291","0","8"
"110360","0","8"
"110704","0","8"
"1119","0","8"
"112015","0","8"
"11226","0","8"
"1000084","0","7"
"1000115","0","7"
"1000436","0","7"
"1002042","0","7"
"1002618","0","7"
"1003510","0","7"
"1004448","0","7"
"1005419","0","7"
"1005746","0","7"
"1006920","0","7"
"1007148","0","7"
"1007319","0","7"
"1007387","0","7"
"1008245","0","7"
"1008786","0","7"
"1008904","0","7"
"1009611","0","7"
"1009822","0","7"
"1010170","0","7"
"1010281","0","7"
"1010870","0","7"
"1011581","0","7"
"1011793","0","7"
"1012232","0","7"
"1012358","0","7"
"1013202","0","7"
"1013209","0","7"
"1013338","0","7"
"1014281","0","7"
"1014544","0","7"
"1014550","0","7"
"1014716","0","7"
"1015846","0","7"
"1015886","0","7"
"1016156","0","7"
"1016326","0","7"
"1016357","0","7"
"1016622","0","7"
"1017543","0","7"
"102386","0","7"
"103439","0","7"
"104142","0","7"
"105364","0","7"
"10668","0","7"
"10694","0","7"
"107181","0","7"
"10776","0","7"
"108523","0","7"
"108996","0","7"
"109169","0","7"
"110200","0","7"
"110365","0","7"
"111216","0","7"
"11190","0","7"
"112165","0","7"
"11272","0","7"
"112775","0","7"
"113082","0","7"
"113244","0","7"
"113321","0","7"
"11403","0","7"
"114644","0","7"
"1149","0","7"
"115031","0","7"
"116344","0","7"
"116769","0","7"
"116801","0","7"
"117013","0","7"
"118384","0","7"
"119925","0","7"
"121389","0","7"
"121502","0","7"
"122782","0","7"
"123252","0","7"
"123672","0","7"
"125811","0","7"
"127360","0","7"
"127915","0","7"
"127981","0","7"
"113397","0","6"
"114546","0","6"
"115098","0","6"
"116021","0","6"
"116310","0","6"
"117418","0","6"
"117857","0","6"
"118164","0","6"
"118237","0","6"
"118238","0","6"
"119496","0","6"
"119998","0","6"
"120581","0","6"
"120932","0","6"
"1212","0","6"
"121741","0","6"
"121910","0","6"
"122369","0","6"
"122578","0","6"
"123286","0","6"
"125307","0","6"
"125377","0","6"
"12646","0","6"
"127010","0","6"
"12722","0","6"
"127340","0","6"
"127866","0","6"
"127942","0","6"
"128422","0","6"
"1001054","0","6"
"1001625","0","6"
"1001921","0","6"
"100257","0","6"
"1002909","0","6"
"1002970","0","6"
"1003249","0","6"
"1003321","0","6"
"100356","0","6"
"1003656","0","6"
"1004337","0","6"
"1004663","0","6"
"100477","0","6"
"1005074","0","6"
"100528","0","6"
"100599","0","6"
"1005995","0","6"
"1006889","0","6"
"1007453","0","6"
"100860","0","6"
"1009046","0","6"
"1009391","0","6"
"1009833","0","6"
"1010381","0","6"
"1010453","0","6"
"1010839","0","6"
"1011181","0","6"
"1011943","0","6"
"1011996","0","6"
"1012022","0","6"
"1012806","0","6"
"101305","0","6"
"101420","0","6"
"1015250","0","6"
"1016498","0","6"
"1016582","0","6"
"1016639","0","6"
"1016747","0","6"
"1016792","0","6"
"1017055","0","6"
"1017058","0","6"
"1017334","0","6"
"1017567","0","6"
"1017627","0","6"
"102302","0","6"
"102617","0","6"
"10267","0","6"
"102762","0","6"
"102773","0","6"
"102774","0","6"
"103710","0","6"
"10476","0","6"
"104811","0","6"
"105873","0","6"
"10608","0","6"
"106415","0","6"
"106838","0","6"
"108050","0","6"
"108102","0","6"
"108227","0","6"
"108233","0","6"
"108605","0","6"
"108809","0","6"
"108967","0","6"
"109643","0","6"
"109971","0","6"
"111023","0","6"
"111517","0","6"
"112111","0","6"
"1000313","0","5"
"1000807","0","5"
"1000911","0","5"
"1001466","0","5"
"1001711","0","5"
"1002208","0","5"
"100294","0","5"
"1003200","0","5"
"1003351","0","5"
"1004172","0","5"
"1004381","0","5"
"1004807","0","5"
"1005166","0","5"
"1005712","0","5"
"1006553","0","5"
"1006582","0","5"
"1006765","0","5"
"1007112","0","5"
"1007601","0","5"
"1007848","0","5"
"1007919","0","5"
"1008557","0","5"
"1008916","0","5"
"1009437","0","5"
"1009898","0","5"
"1010691","0","5"
"1011799","0","5"
"1011937","0","5"
"1011960","0","5"
"1011986","0","5"
"1012895","0","5"
"1013593","0","5"
"1014055","0","5"
"1014248","0","5"
"1014341","0","5"
"1015305","0","5"
"1015794","0","5"
"1016024","0","5"
"1016774","0","5"
"1017407","0","5"
"1017527","0","5"
"1017649","0","5"
"1017860","0","5"
"102163","0","5"
"102574","0","5"
"102703","0","5"
"102721","0","5"
"103246","0","5"
"103627","0","5"
"10395","0","5"
"10407","0","5"
"104823","0","5"
"105044","0","5"
"105643","0","5"
"105748","0","5"
"105819","0","5"
"105907","0","5"
"106400","0","5"
"106435","0","5"
"106699","0","5"
"107159","0","5"
"107243","0","5"
"107293","0","5"
"107389","0","5"
"107492","0","5"
"107665","0","5"
"10772","0","5"
"107961","0","5"
"108037","0","5"
"108457","0","5"
"109124","0","5"
"109337","0","5"
"109388","0","5"
"10984","0","5"
"112070","0","5"
"112099","0","5"
"112369","0","5"
"112372","0","5"
"112689","0","5"
"112930","0","5"
"11294","0","5"
"113269","0","5"
"113291","0","5"
"113834","0","5"
"113932","0","5"
"114931","0","5"
"115512","0","5"
"115752","0","5"
"116572","0","5"
"117019","0","5"
"117226","0","5"
"117689","0","5"
"117805","0","5"
"117981","0","5"
"118130","0","5"
"118996","0","5"
"11900","0","5"
"119185","0","5"
"120241","0","5"
"120349","0","5"
"120398","0","5"
"120640","0","5"
"120929","0","5"
"12095","0","5"
"121321","0","5"
"121515","0","5"
"121613","0","5"
"121854","0","5"
"121858","0","5"
"121924","0","5"
"121985","0","5"
"122379","0","5"
"122387","0","5"
"122563","0","5"
"123109","0","5"
"123543","0","5"
"123762","0","5"
"124813","0","5"
"125205","0","5"
"125364","0","5"
"125461","0","5"
"125578","0","5"
"127180","0","5"
"127419","0","5"
"128417","0","5"
"128449","0","5"
"112867","0","4"
"112936","0","4"
"113010","0","4"
"113116","0","4"
"113603","0","4"
"113627","0","4"
"113829","0","4"
"113879","0","4"
"113890","0","4"
"114733","0","4"
"11495","0","4"
"115000","0","4"
"115109","0","4"
"115185","0","4"
"115385","0","4"
"115387","0","4"
"115476","0","4"
"115614","0","4"
"115650","0","4"
"116805","0","4"
"116837","0","4"
"11730","0","4"
"117347","0","4"
"117616","0","4"
"118686","0","4"
"118840","0","4"
"118976","0","4"
"119139","0","4"
"11916","0","4"
"119443","0","4"
"119527","0","4"
"119657","0","4"
"119775","0","4"
"120135","0","4"
"121182","0","4"
"121219","0","4"
"121417","0","4"
"121536","0","4"
"121948","0","4"
"12202","0","4"
"122105","0","4"
"12213","0","4"
"122177","0","4"
"122214","0","4"
"122228","0","4"
"122253","0","4"
"122264","0","4"
"122389","0","4"
"122448","0","4"
"122607","0","4"
"123241","0","4"
"123317","0","4"
"123520","0","4"
"123694","0","4"
"12400","0","4"
"124036","0","4"
"12424","0","4"
"124274","0","4"
"124538","0","4"
"124811","0","4"
"124848","0","4"
"124867","0","4"
"125078","0","4"
"125537","0","4"
"125580","0","4"
"12605","0","4"
"126343","0","4"
"126482","0","4"
"126898","0","4"
"126935","0","4"
"127113","0","4"
"127224","0","4"
"127355","0","4"
"128145","0","4"
"128465","0","4"
"1000028","0","4"
"1000103","0","4"
"1000398","0","4"
"1000610","0","4"
"1000836","0","4"
"1001131","0","4"
"1001186","0","4"
"1001235","0","4"
"1001652","0","4"
"1001804","0","4"
"1001829","0","4"
"1001988","0","4"
"1002020","0","4"
"1002093","0","4"
"1002520","0","4"
"1002578","0","4"
"1002934","0","4"
"1003027","0","4"
"1003041","0","4"
"1003183","0","4"
